id,company,title,date,url,completeness_score,status,notes
aws-s3-2017-02-28,AWS,"Incorrect command input removes S3 capacity, forcing subsystem restarts and a multi-hour outage",2017-02-28,https://aws.amazon.com/message/41926/,5,completed,human-error; 257 min; verified against first-party source
cloudflare-2025-11-18,Cloudflare,Bot Management configuration file caused global proxy outage,2025-11-18,https://blog.cloudflare.com/cloudflare-global-outage-on-november-14th-2025/,5,completed,configuration-error; 346 min
cloudflare-bgp-2019-06-24,Cloudflare,Verizon BGP route leak causes global internet outage,2019-06-24,https://blog.cloudflare.com/how-verizon-and-a-bgp-optimizer-knocked-large-parts-of-the-internet-offline-today/,5,completed,network-bgp; 129 min; major; verified against first-party source
cloudflare-control-plane-2023-11-02,Cloudflare,Data center power failure cascades into control plane and analytics outage,2023-11-02,https://blog.cloudflare.com/post-mortem-on-cloudflare-control-plane-and-analytics-outage/,5,completed,cascading-failure; 1541 min; major; verified against first-party source
cloudflare-r2-2025-03-21,Cloudflare,Credential rotation mis-deployment causes 67-minute global outage for R2 object storage,2025-03-21,https://blog.cloudflare.com/r2-outage-on-march-21st-2025/,5,completed,human-error; 67 min; FILENAME is cloudflare-r2-2025-03-21.md (matches id)
cloudflare-thanksgiving-2023-11-23,Cloudflare,Nation-state attacker uses stolen Okta credentials to access Atlassian systems,2023-11-23,https://blog.cloudflare.com/thanksgiving-2023-security-incident/,5,completed,credential-auth; 1124 min (detection-to-eviction); major; verified
cloudflare-waf-2019-07-02,Cloudflare,WAF rule with catastrophic backtracking causes global 502 errors,2019-07-02,https://blog.cloudflare.com/details-of-the-cloudflare-outage-on-july-2-2019/,5,completed,configuration-error; 27 min; major
crowdstrike-2024-07-19,CrowdStrike,Channel File 291 content update causes global Windows system crashes,2024-07-19,https://www.crowdstrike.com/blog/falcon-content-update-remediation-and-guidance-hub/,5,completed,configuration-error; 14400 min (recovery tail)
github-dns-2024-10-11,GitHub,"Database migration triggers cascading DNS failure, causing 19-hour degraded performance across GitHub services",2024-10-11,https://github.blog/news-insights/company-news/github-availability-report-october-2024/,5,completed,cascading-failure; 1152 min; FILENAME is github-2024-10-11.md (id is github-dns-2024-10-11)
github-auth-2026-02-17,GitHub,Replication lag in the token verification cluster causes intermittent authentication failures,2026-02-17,https://www.githubstatus.com/incidents/xs6xtcv196g7,4,completed,credential-auth; 119 min; minor; sourced from status page (no full post-mortem)
github-database-2018-10-21,GitHub,Network partition triggers cross-country database failover causing 24-hour outage,2018-10-21,https://github.blog/news-insights/company-news/oct21-post-incident-analysis/,5,completed,database-storage; 1451 min; verified against first-party source
gitlab-2017-01-31,GitLab,"Accidental database deletion during replication recovery – 18-hour restore, 23-hour outage",2017-01-31,https://about.gitlab.com/blog/2017/02/01/gitlab-dot-com-database-incident/,5,completed,human-error; 1380 min
roblox-2021-10-28,Roblox,Consul and BoltDB performance issues cause 73-hour outage,2021-10-28,https://blog.roblox.com/2021/10/roblox-return-to-service-10-28-2021/,5,completed,database-storage; 4380 min
sentry-postgres-2015-07-20,Sentry,Postgres transaction ID wraparound causes a working-day outage,2015-07-20,https://blog.sentry.io/transaction-id-wraparound-in-postgres/,4,completed,database-storage; 420 min (approx); major; verified against first-party source
tanstack-npm-2026-05-11,TanStack,npm supply-chain compromise via GitHub Actions cache poisoning and OIDC token extraction,2026-05-11,https://tanstack.com/blog/npm-supply-chain-compromise-postmortem,5,completed,supply-chain; 275 min; verified against first-party source
